"NOM";"CP";"URL";"SOUS_TYPE";"LATTI";"LONGI";"Public";"ORGANISME";"Type";"GCD";"COMMUNE"
"musée de la dentelle";"63220";"arlanc.fr/accueil/20-le-musee-de-la-dentelle.html";"Arts décoratif";45.414373;3.724421;"";"";"Musée";"";"ARLANC"
"musée Lapidaire";"63200";"www.ville-mozac.com/La-crypte-et-le-musee-lapidaire.html";"Histoire";45.892133;3.094609;"";"";"Musée";"";"MOZAC"
"musée municipal";"63790";"murolchateau.com/";"Histoire";45.590429;2.921508;"";"";"Musée";"";"MUROL"
"musée régional d Auvergne";"63200";"www.rlv.eu/decouvrir/musees/musee-regional-d-auvergne.html";"Ethnologie";45.895037;3.116254;"";"";"Musée";"";"RIOM"
"musée du Châtillonnais";"21400";"www.musee-vix.fr/fr/";"Archeologie";47.863791;4.574632;"";"";"Musée";"";"CHATILLON-SUR-SEINE"
"musée municipal";"21700";"www.ot-nuits-st-georges.fr/accueil/";"Archeologie";47.138661;4.950405;"";"";"Musée";"";"NUITS-SAINT-GEORGES"
"musée d Art et d Histoire Romain Rolland";"02880";"www.clamecy.fr/index.php/Mus%C3%A9e-d-Art-et-d-Histoire-Romain-Rolland?idpage=320&idmetacontenu=";"Archeologie";47.460604;3.520823;"";"";"Musée";"";"CLAMECY"
"musée municipal";"58400";"non renseigne";"Archeologie";47.178081;3.016449;"";"";"Musée";"";"LA_CHARITE-SUR-LOIRE"
"musée de la mine";"58260";"nievre.fr/cadre-de-vie/culture-et-patrimoine/musees/la-machine-musee-de-la-mine/";"Histoire";46.889225;3.463514;"";"";"Musée";"";"LA_MACHINE"
"musée Rolin";"71400";"www.museerolin.fr/node/132";"Archeologie";46.945723;4.299216;"";"";"Musée";"";"AUTUN"
"musée René Davoine";"71120";"www.ville-charolles.fr/musee-du-prieure-jean-laronze";"Art";46.431434;4.273059;"";"";"Musée";"";"CHAROLLES"
"musée du Prieuré Jean Laronze";"71120";"www.ville-charolles.fr/musees";"Arts décoratif";46.432412;4.279872;"";"";"Musée";"";"CHAROLLES"
"musée eucharistique du Hiéron";"71600";"www.musee-hieron.fr/";"Art";46.451822;4.123021;"";"";"Musée";"";"PARAY-LE-MONIAL"
"musée bourguignon Perrin de Puycousin";"71700";"non renseigne";"Histoire";46.562137;4.910839;"";"";"Musée";"";"TOURNUS"
"musée d art et d histoire Saint-Germain";"89000";"www.auxerre.fr/Attractive/Les-grands-equipements/Les-equipements-culturels/Musees";"Archeologie";47.800283;3.571975;"";"";"Musée";"";"AUXERRE"
"musée d art naïf";"89260";"noyers-et-tourisme.com/museenoyers.html";"Archeologie";47.721479;3.966518;"";"";"Musée";"";"NOYER-SUR-SEREIN"
"musée";"29930";"www.museepontaven.fr/fr/";"Art";47.855497;-3.747155;"";"";"Musée";"";"PONT-AVEN"
"musée des beaux-arts";"29000";"www.mbaq.fr/";"Arts décoratif";47.996188;-4.101963;"";"";"Musée";"";"QUIMPER"
"musée départemental breton";"29000";"musee-breton.finistere.fr/fr/";"Archeologie";47.995125;-4.102602;"";"";"Musée";"";"QUIMPER"
"musée d histoire de la ville et d’ethnographie du pays malouin";"35400";"www.ville-saint-malo.fr/listes/le-musee-dhistoire-maritime-de-saint-malo/";"Archeologie";48.650738;-2.023727;"";"";"Musée";"";"SAINT-MALO"
"musée du Long-Cours Cap-Hornier";"35400";"www.ville-saint-malo.fr/listes/le-musee-dhistoire-maritime-de-saint-malo/";"Sciences de la nature";48.63419814;-2.02590467;"";"";"Musée";"";"SAINT-MALO"
"musée des sapeurs-pompiers de Lyon";"69480";"museepompiers.com/";"Histoire";45.790491;4.797411;"";"";"Musée";"";"LYON"
"musée de La Poterie";"67660";"www.betschdorf.com/vie-culturelle-et-associative/musee-de-la-poterie";"Arts décoratif";48.900348;7.914409;"";"";"Musée";"";"BETSCHDORF"
"musée historique et industriel - musée du fer";"67110";"www.reichshoffen.fr/Le-Musee-Historique-et-Industriel.html";"Histoire";48.932234;7.664814;"";"";"Musée";"";"REICHSHOFFEN"
"musée d art moderne et contemporain de Strasbourg";"67000";"www.musees.strasbourg.eu/musee-d-art-moderne-et-contemporain";"Arts décoratif";48.579654;7.736231;"";"";"Musée";"";"STRASBOURG"
"musée des Arts Décoratifs";"67000";"www.musees.strasbourg.eu/musee-des-arts-decoratifs";"Arts décoratif";48.581229;7.751984;"";"";"Musée";"";"STRASBOURG"
"musée Sundgauvien";"68130";"altkirch-alsace.fr/musee-sundgauvien/";"Archeologie";47.623329;7.237204;"";"";"Musée";"";"ALTKIRCH"
"musée gallo-romain";"68600";"www.biesheim.fr/culture-loisirs/musee-gallo-romain/";"Archeologie";48.041667;7.54802;"";"";"Musée";"";"BIESHEIM"
"musée de la Porte de Thann";"28120";"www.musee-cernay.org/";"Histoire";47.809586;7.174264;"";"";"Musée";"";"CERNAY"
"musée du vignoble et des vins d Alsace";"68240";"www.musee-du-vignoble-alsace.fr/";"Histoire";48.126069;7.280128;"";"";"Musée";"";"KIENTZHEIM"
"musée Vauban";"68600";"www.neuf-brisach.fr/Culture-Patrimoine/Musee.html";"Histoire";48.016144;7.525674;"";"";"Musée";"";"NEUF-BRISACH"
"musée de la société d’histoire “ les amis de Thann ”";"68800";"www.les-amis-de-thann.com/";"Archeologie";47.812283;7.101737;"";"";"Musée";"";"THANN"
"musée militaire - souvenirs du Périgord";"24000";"www.museemilitaire-perigord.fr/";"Histoire";45.183285;0.720943;"";"";"Musée";"";"PERIGUEUX"
"musée d art et d archéologie du Périgord";"24000";"www.perigueux-maap.fr/";"Archeologie";45.186039;0.72395;"";"";"Musée";"";"PERIGUEUX"
"musée de Sarlat et du Périgord noir";"24200";"webmuseo.com/ws/sarlat/app/collection/expo/13";"Archeologie";44.89456376;1.23304833;"";"";"Musée";"";"SARLAT-LA-CANEDA"
"musée des arts décoratifs et du design";"33000";"madd-bordeaux.fr/";"Arts décoratif";44.838956;-0.579686;"";"";"Musée";"";"BORDEAUX"
"musée de la voiture à cheval - Au temps des calèches";"52200";"www.bourg-gironde.fr/tourisme/chateau-de-citadelle/";"Art";45.039017;-0.55971;"";"";"Musée";"";"BOURG"
"musée des beaux-arts et d archéologie";"33500";"www.libourne.fr/culturelle/musee-des-beaux-arts";"Archeologie";44.914487;-0.245068;"";"";"Musée";"";"LIBOURNE"
"musée de Borda";"40100";"www.dax.fr/fiche-annuaire/musee-de-borda/";"Archeologie";43.710655;-1.054061;"";"";"Musée";"";"DAX"
"écomusée de la Grande Lande";"40630";"www.marqueze.fr/";"Arts décoratif";44.149414;-0.749433;"";"";"Musée";"";"SABRES"
"musée Despiau Wlérick";"40000";"www.montdemarsan.fr/lutece/jsp/site/Portal.jsp?page_id=108";"Art";43.8926;-0.498893;"";"";"Musée";"";"MONT-DE-MARSAN"
"musée Basque et de l Histoire de Bayonne";"64100";"www.musee-basque.com/";"Archeologie";43.491093;-1.473823;"";"";"Musée";"";"BAYONNE"
"musée Edmond Rostand";"64250";"www.arnaga.com/";"Arts décoratif";43.366872;-1.41606;"";"";"Musée";"";"CAMBO-LES-BAINS"
"musée des Beaux-Arts";"64000";"www.pau.fr/article/les-musees-cote-pratique--horaires-tarifs-et-acces";"Arts décoratif";43.297254;-0.364384;"";"";"Musée";"";"PAU"
"musée Alfred Douët";"15100";"www.saint-flour.net/sortir/musee-art-et-histoire-alfred-douet/";"Archeologie";45.034016;3.095067;"";"";"Musée";"";"SAINT-FLOUR"
"musée de la ferblanterie";"43300";"non renseigne";"Histoire";45.067807;3.548896;"";"";"Musée";"";"SAINT-ARCONS-D_ALLIER"
"musée Bargoin";"63000";"www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/musee-bargoin/";"Archeologie";45.774229;3.0869;"";"";"Musée";"";"CLERMONT-FERRAND"
"musée Francisque Mandet";"63200";"www.rlv.eu/decouvrir/musees/musee-mandet.html";"Archeologie";45.893874;3.116508;"";"";"Musée";"";"RIOM"
