"NOM";"CP";"LATTI";"LONGI";"Site";"SOUS_TYPE";"COMMUNE"
"Eclat de scènes";"74800";46.04314841;6.30107654;"http://mjc-larochesurforon.fr/eclat-de-scenes/infos-pratiques/";"Spectacle vivant";"LA_ROCHE-SUR-FORON"
"Rencontres de cinéma documentaire Contrechamps";"11220";43.09572303;2.60436046;"https://www.agendadesfestivals.occitanie-films.fr/index.php/events/rencontres-de-cinema-documentaire-contrechamps/";"Cinéma";"LAGRASSE"
"Jazz Alp festival";"38190";45.26255067;5.10224796;"WWW.jazzalp.fr";"Musique";"L_ALPE-DU-GRAND-SERRE"
"Terra festival";"97129";14.62476001;-60.99335498;"www.terrafestival.org";"Cinéma";"LAMENTIN"
"Festival Cos on the road";"82130";44.09326198;1.38976565;"https://www.cosontheroad.com/";"Musique";"LAMOTHE-CAPDEVILLE"
"L Appel du Loup";"22580";48.70992856;-2.96884384;"non renseigne";"Musique";"LANLOUP"
"Larockéenne des alberes";"66740";42.5116805;2.93303085;"https://anglophone-direct.com/event/festival-larockeenne-des-alberes/";"Musique";"LAROQUE-DES-ALBERES"
"Les Arts dans la rue";"41700";47.4210455;1.43621365;"https://culture.controis-en-sologne.fr/arts-dans-la-rue/";"Pluridisciplinaire";"LE_CONTROIS-EN-SOLOGNE"
"Musique au centre";"13570";43.296346;5.369889;"https://www.facebook.com/musiqueaucentre/";"Musique";"MARSEILLE"
"Journées de la BD";"44640";47.2229017;-1.825013;"www.journeesbd.fr";"Livre";"LE_PELLERIN"
"Biennale de jazz du Perreux";"94170";48.84239524;2.50406849;"www.cdbm.org";"Musique";"LE_PERREUX-SUR-MARNE"
"Interfolk";"43000";45.02763667;3.89535229;"www.interfolk.fr";"Spectacle vivant";"LE_PUY-EN-VELAY"
"Le Kraken";"85800";46.50076128;-1.79255129;"https://www.instagram.com/lekrakenfestival/";"Musique";"LES_SABLES-D_OLONNE"
"Festival du film d animation";"01800";45.90605303;5.20404834;"www.cinehorloge.fr";"Cinéma";"MEXIMIEUX"
"Vague de Jazz";"85800";46.50076128;-1.79255129;"www.vaguedejazz";"Musique";"LES_SABLES-D_OLONNE"
"Hors cadres";"39000";46.67447963;5.55733213;"pas de site internet";"Arts visuels";"LONS-LE-SAUNIER"
"La guinguette au parc";"39000";46.67447963;5.55733213;"https://sortiralons.fr/guinguette-au-parc/";"Spectacle vivant";"LONS-LE-SAUNIER"
"Novembre des canuts";"69380";45.759723;4.842223;"http://canuts.chienjaune.eu/";"Pluridisciplinaire";"LYON"
"Ciné horizontes";"13930";43.296346;5.369889;"cinehorizontes.com";"Cinéma";"MARSEILLE"
"Rencontres musicales de Noyers";"45260";47.6952216;3.98085742;"http://www.musicalesdenoyers.com/";"Musique";"NOYERS"
