"CP";"AMPLITUDE_HORAIRE";"NOM";"COMMUNE";"POPULATION";"SOUS_TYPE";"Type";"Url";"GCD";"NB_BENEVOLE";"NB_SALARIE";"SURFACE";"LATTI";"LONGI"
"35550";;"Médiathèque de Saint Just";"Saint-Just";1078;"Bibliothèque municipale";"Bibliotheque";"";"";8;1;102;47.766582;-1.963411
"35500";;"Bibliothèque Municipale";"Saint-M Hervé";1395;"Bibliothèque municipale";"Bibliotheque";"";"";9;1;220;48.177088;-1.116827
"35430";;"La Vague Des Mots";"Saint-Père";2496;"Bibliothèque municipale";"Bibliotheque";"";"";15;0;105;48.588514;-1.921263
"35190";;"Médiathèque Les Mots Passants";"Saint-Pern";1061;"Bibliothèque municipale";"Bibliotheque";"";"";6;1;70;48.288371;-1.988046
"35310";;"Mediatheque Municipale";"Saint-Thurial";2157;"Bibliothèque municipale";"Bibliotheque";"";"";6;1;200;48.030004;-1.930749
"35320";;"Bibliothèque municipale";"Le Sel-de-Bretagne";1136;"Bibliothèque municipale";"Bibliotheque";"";"";8;1;110;47.895339;-1.613008
"35134";;"Médiathèque intercommunale";"Thourie";859;"Bibliothèque intercommunale";"Bibliotheque";"";"";4;1;100;47.854764;-1.480474
"35140";;"Médiathèque communautaire de Vendel";"Rives-du-Couesnon";2938;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;1;30;48.299403;-1.310585
"38150";;"Bibliotheque Muncipale d Agnin";"Agnin";1171;"Bibliothèque municipale";"Bibliotheque";"";"";13;0;110;45.340346;4.85571
"38740";;"Bibliothèque de Chantepérier";"Chantepérier";198;"Bibliothèque municipale";"Bibliotheque";"";"";5;0;23;44.991453;5.966377
"38300";;"Bibliotheque La Grange aux livres";"Chèzeneuve";647;"Bibliothèque municipale";"Bibliotheque";"";"";12;0;30;45.562303;5.222166
"71250";;"Bibliothèque des Perrières";"Mazille";445;"Bibliothèque municipale";"Bibliotheque";"";"";9;0;100;46.39032;4.603188
"41350";;"Médiathèque Muguette Bigot Huisseau-sur-cosson";"Huisseau-sur-Cosson";2389;"Bibliothèque municipale";"Bibliotheque";"";"";9;1;207;47.592675;1.454471
"41120";;"Bibliothèque de Cellettes";"Cellettes";2722;"Bibliothèque municipale";"Bibliotheque";"";"";14;0;78;47.527016;1.383681
"41700";;"Point-lecture de Sassay";"Sassay";1059;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;30;47.395557;1.441544
"41100";;"Bibliothèque Marie Genty Pezou";"Pezou";1134;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;107;47.867374;1.14432
"41700";;"Point-lecture de Thenay";"Le Controis-en-Sologne";6880;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;68;47.433568;1.395494
"41250";;"Point-lecture de Tour-en-Sologne";"Tour-en-Sologne";1131;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;28;47.53796;1.500256
"41110";;"Bibliothèque de Châteauvieux";"Châteauvieux";539;"Bibliothèque municipale";"Bibliotheque";"";"";3;0;60;47.230601;1.382635
"71220";;"Bibliothèque Municipale";"Le Rousset-Marizy";647;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;45;46.5702;4.4346
"41130";;"Espace Culturel de Gièvres";"Gièvres";2406;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;229;47.275248;1.668446
"41350";;"Bibliothèque de Saint-Gervais-la-Forêt";"Saint-Gervais-la-Forêt";3270;"Bibliothèque municipale";"Bibliotheque";"";"";7;0;107;47.567815;1.360508
"41400";;"Bibliothèque de Vallières-les-grandes";"Vallières-les-Grandes";958;"Bibliothèque municipale";"Bibliotheque";"";"";5;0;33;47.423061;1.147102
"41160";;"Médiathèque La Fonderie Fréteval";"Fréteval";1091;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;2;600;47.886442;1.210086
"41100";;"Médiathèque Selommes";"Selommes";827;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;3;294;47.755427;1.192498
"71500";;"Bibliothèque Intercommunale de SAINT-USUGE";"Saint-Usuge";1311;"Bibliothèque intercommunale";"Bibliotheque";"";"";4;2;110;46.677988;5.25042
"71330";;"Bibliothèque Intercommunale Simard";"Simard";1200;"Bibliothèque intercommunale";"Bibliotheque";"";"";4;0;70;46.720848;5.179677
"58140";;"Bibliothèque Municipale de Brassy";"Brassy";628;"Bibliothèque municipale";"Bibliotheque";"";"";5;0;80;47.261799;3.935956
