"CP";"AMPLITUDE_HORAIRE";"NOM";"COMMUNE";"POPULATION";"SOUS_TYPE";"Type";"Url";"GCD";"NB_BENEVOLE";"NB_SALARIE";"SURFACE";"LATTI";"LONGI"
"28000";;"Bibliothèque Louis-Aragon";"Chartres";39698;"Bibliothèque municipale";"Bibliotheque";"";"";0;8;800;48.44805455;1.50464085
"46000";;"Bibliothèque Patrimoniale et de recherche du Grand cahors";"Cahors";20877;"Bibliothèque intercommunale";"Bibliotheque";"";"";2;2;300;44.4565109;1.4390088
"01700";;"Bibliothèque de Neyron";"Neyron";2619;"Bibliothèque municipale";"Bibliotheque";"";"";7;0;45;45.8359445;4.99637935
"07140";;"Bibliothèque municipale";"Gravières";518;"Bibliothèque intercommunale";"Bibliotheque";"";"";6;0;50;44.4242657;4.18822415
"34700";;"Bibliothèque De Pégairolles-De-L escalette";"Pégairolles-de-l Escalette";164;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;50;43.6984849;3.3895837
"38730";;"Bibliothèque Communautaire de Le Pin";"Villages du Lac de Paladru";2588;"Bibliothèque intercommunale";"Bibliotheque";"";"";11;0;120;45.4790984;5.44871675
"63710";;"Pôle Lecture Publique Massif du Sancy -Vernet-Ste-Marguerite";"Le Vernet-Sainte-Marguerite";306;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;0;60;45.5924887;2.99559465
"25260";;"Bibliothèque Municipale Ma Bulle";"Mamirolle";1813;"Bibliothèque municipale";"Bibliotheque";"";"";20;1;113;47.44955725;6.6887584
"62440";;"Bobliothèque de la Chapelle au Riboul / CC Mayenne";"La Chapelle-au-Riboul";517;"Bibliothèque intercommunale";"Bibliotheque";"";"";14;0;46;50.45223055;2.903554
"49390";;"Bibliothèque de Parçay-les-Pins";"Noyant-Villages";5713;"Bibliothèque municipale";"Bibliotheque";"";"";13;0;80;47.35148105;0.0818877
"49220";;"Bibliothèque du Lion d Angers";"Le Lion-d Angers";5099;"Bibliothèque intercommunale";"Bibliotheque";"";"";16;0;200;47.6901462;-0.69483635
"81450";;"Bibliothèque municipale";"Le Garric";1288;"Bibliothèque municipale";"Bibliotheque";"";"";12;2;105;44.00286315;2.171059
"81100";;"Bibliothèque municipale";"Verdalle";1182;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;40;43.6357786;2.33744005
"06390";;"Bibliothèque de Sospel";"Sospel";3890;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;400;43.83088005;7.2840149
"80400";;"Médiathèque Est de la Somme - Ham";"Ham";4657;"Bibliothèque municipale";"Bibliotheque";"";"";0;5;820;49.7383359;2.9475106
"49400";;"Bibliothèque municipale de Saint-Cyr-en-Bourg";"Saint-Cyr-en-Bourg";3562;"Bibliothèque intercommunale";"Bibliotheque";"";"";9;0;100;47.17808705;-0.0449151
"46310";;"Bibliothèque de Frayssinet";"Frayssinet";311;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;25;44.66949525;1.39150715
"04330";;"Bibliothèque de Blieux";"Blieux";57;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;1;30;43.94671805;6.3859852
"04300";;"Bibliothèque de Limans";"Limans";396;"Bibliothèque intercommunale";"Bibliotheque";"";"";4;0;236.2;43.8947225;5.77649785
"04700";;"Bibliothèque de Lurs";"Lurs";390;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;0;236.2;43.9300048;5.88224315
"85250";;"Bibliothèque Jardin du livre";"Chavagnes-en-Paillers";3653;"Bibliothèque municipale";"Bibliotheque";"";"";15;1;234;46.88979665;-1.23410265
"31250";;"Plaisir de lire";"L Union";11962;"Bibliothèque municipale";"Bibliotheque";"";"";21;2;500;43.4678912;1.9974716
"01500";;"Bibliotheque Muncipale";"Ambronay";2915;"Bibliothèque municipale";"Bibliotheque";"";"";14;1;145;46.005888;5.36273
"01290";;"Bibliothèque Municipale";"Crottet";1803;"Bibliothèque municipale";"Bibliotheque";"";"";14;1;120;46.285131;4.877743
"01350";;"Médiathèque Municipale de Culoz";"Culoz";3068;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;220;45.848493;5.776901
"01851";;"Médiathèque municipale de Marboz";"Marboz";2323;"Bibliothèque municipale";"Bibliotheque";"";"";13;2;237;46.342262;5.257639
"02290";;"Bibliothèque";"Ambleny";1192;"Bibliothèque municipale";"Bibliotheque";"";"";5;0;48;49.37912;3.184581
"02320";;"Médiatheque Les feuillets d Hermione";"Anizy-le-Grand";2627;"Bibliothèque municipale";"Bibliotheque";"";"";3;3;350;49.50473;3.450764
"02400";;"Médiathèque Françoise Coette";"Brasles";1600;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;85;49.047898;3.427722
"02400";;"Mediatheque Jean Mace";"Château-Thierry";15616;"Bibliothèque municipale";"Bibliotheque";"";"";1;11;1900;49.047194;3.400441
"02590";;"Médiathèque Municipale De Savy";"Savy";624;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;150;49.829574;3.193377
"02830";;"Mediatheque Marc Blancpain";"Saint-Michel";3371;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;642;49.918839;4.134343
"03000";;"Médiathèque d Avermes";"Avermes";4049;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;396;46.583016;3.315326
"03700";;"MEDIATHEQUE FERME MODELE";"Bellerive-sur-Allier";8972;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;500;46.112422;3.406667
"03110";;"Bibliotheque Municipale de Saint-Rémy-en-Rollat";"Saint-Rémy-en-Rollat";1763;"Bibliothèque municipale";"Bibliotheque";"";"";5;1;90;46.184616;3.39145
"03150";;"Médiathèque Municipale de Varennes-sur-Allier";"Varennes-sur-Allier";3691;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;300;46.313517;3.404128
"04400";;"Médiathèque de Barcelonnette";"Barcelonnette";2762;"Bibliothèque municipale";"Bibliotheque";"";"";0;4;659;44.381904;6.632811
"04280";;"Médiathèque de Céreste";"Céreste";1227;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;250;43.856108;5.592157
"04800";;"Bibliothèque de Saint-Martin-de-Brômes";"Saint-Martin-de-Brômes";641;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;0;30;43.77327;5.961071
"04380";;"Bibliotheque de Thoard";"Thoard";767;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;1;133;44.150164;6.147913
"04290";;"Bibliothèque du Château - Volonne";"Volonne";1678;"Bibliothèque intercommunale";"Bibliotheque";"";"";2;1;90;44.124352;5.994346
"05120";;"Médiathèque Municipale";"L Argentière-la-Bessée";2341;"Bibliothèque municipale";"Bibliotheque";"";"";1;2;160;44.784293;6.55216
"06580";;"Bibliotheque de Pégomas";"Pégomas";8085;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;1402;43.59618;6.933338
"06550";;"Mediatheque Municipale";"La Roquette-sur-Siagne";5479;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;200;43.580477;6.947429
"06140";;"Mediatheque Municipale";"Vence";19242;"Bibliothèque municipale";"Bibliotheque";"";"";0;11;873;43.720298;7.11609
"07340";;"Bibliothèque municipale";"Félines";1761;"Bibliothèque intercommunale";"Bibliotheque";"";"";9;0;57;45.317231;4.728641
"07270";;"Bibliothèque municipale";"Lamastre";2393;"Bibliothèque municipale";"Bibliotheque";"";"";14;1;302;44.989494;4.588088
"07190";;"Bibliothèque municipale";"Marcols-les-Eaux";289;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;20;44.812461;4.397399
"07130";;"Bibliothèque municipale Le balcon aux livres";"Soyons";2333;"Bibliothèque municipale";"Bibliotheque";"";"";11;1;220;44.89056;4.849741
"07320";;"Médiathèque de Saint-Agrève";"Saint-Agrève";2440;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;3;320;45.009684;4.39615
"07400";;"Bibliothèque intercommunale";"Le Teil";9043;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;8;740;44.549201;4.6826
"08090";;"Médiathèque municipale";"Aiglemont";1672;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;40;49.781499;4.766394
"08110";;"Médiathèque les Mousquetaires";"Carignan";2923;"Bibliothèque municipale";"Bibliotheque";"";"";7;2;400;49.627337;5.176618
"10210";;"Bibliotheque Municipale";"Chaource";1048;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;130;48.058029;4.136364
"10190";;"Bibliotheque Municipale";"Estissac";1870;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;80;48.264749;3.807947
"10120";;"Bibliotheque Municipale";"Laines-aux-Bois";545;"Bibliothèque municipale";"Bibliotheque";"";"";16;0;25;48.234688;3.994873
"10400";;"Bibliotheque Municipale";"Nogent-sur-Seine";6084;"Bibliothèque municipale";"Bibliotheque";"";"";7;5;240;48.491947;3.496589
"10340";;"Bibliotheque Municipale";"Les Riceys";1235;"Bibliothèque municipale";"Bibliotheque";"";"";8;1;100;47.991861;4.365831
"10410";;"Bibliotheque Municipale";"Saint-Parres-aux-Tertres";3216;"Bibliothèque municipale";"Bibliotheque";"";"";9;2;162;48.300355;4.117962
"10390";;"Bibliotheque Municipale";"Verrières";1895;"Bibliothèque municipale";"Bibliotheque";"";"";4;1;135;48.230725;4.149063
"11170";;"Bibliothèque municipale de Caux-et-Sauzens";"Caux-et-Sauzens";1026;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;42;43.225179;2.255423
"11590";;"Médiathèque municipale Louis Molveau";"Cuxac-d Aude";4104;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;300;43.243444;2.999356
"11360";;"Médiathèque de Durban-Corbières";"Durban-Corbières";665;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;145;42.997633;2.82059
"11430";;"Médiathèque municipale de Gruissan";"Gruissan";5167;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;350;43.106478;3.087799
"11170";;"Bibliothèque municipale de Montolieu";"Montolieu";850;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;70;43.310678;2.214916
"11590";;"Bibliothèque municipale de Sallèles-d Aude";"Sallèles-d Aude";3067;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;177;43.257372;2.94797
"11350";;"Bibliotheque municipale de Tuchan";"Tuchan";804;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;72;42.888718;2.718563
"12340";;"Médiathèque André Baudon de Bozouls";"Bozouls";2989;"Bibliothèque municipale";"Bibliotheque";"";"";3;2;314;44.474804;2.722455
"12450";;"Bibliothèque Municipale de Flavin";"Flavin";2410;"Bibliothèque municipale";"Bibliotheque";"";"";13;0;70;44.288822;2.603155
"12330";;"Médiathèque municipale de Valady";"Valady";1631;"Bibliothèque municipale";"Bibliotheque";"";"";13;1;90;44.44179;2.440467
"12200";;"Médiathèque municipale de Villefranche-de-Rouergue";"Villefranche-de-Rouergue";12153;"Bibliothèque municipale";"Bibliotheque";"";"";0;10;740;44.350579;2.038781
"13320";;"Bibliothèque municipale";"Bouc-Bel-Air";15143;"Bibliothèque municipale";"Bibliotheque";"";"";0;6;185;43.451243;5.413986
"13470";;"Médiathèque Albert-Camus";"Carnoux-en-Provence";6582;"Bibliothèque municipale";"Bibliotheque";"";"";13;2;530;43.252792;5.560286
"13160";;"Médiathèque municipale Isidore-Rollande";"Châteaurenard";16315;"Bibliothèque municipale";"Bibliotheque";"";"";0;7;710;43.882939;4.854232
"13111";;"Bibliothèque municipale";"Coudoux";3754;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;190;43.556401;5.24259
"13780";;"Médiathèque municipale";"Cuges-les-Pins";5299;"Bibliothèque municipale";"Bibliotheque";"";"";0;6;320;43.275755;5.702225
"13430";;"Médiathèque municipale";"Eyguières";7005;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;548;43.694744;5.031112
"13710";;"Bibliothèque municipale";"Fuveau";10349;"Bibliothèque municipale";"Bibliotheque";"";"";0;5;159;43.455789;5.567526
"13180";;"Bibliothèque municipale";"Gignac-la-Nerthe";9977;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;476;43.388193;5.231355
"13800";;"Médiathèque Intercommunale D istres";"Istres";44283;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;52;1309;43.544345;4.95196
"13490";;"Bibliothèque municipale du Grand Pré";"Jouques";4504;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;313;43.636468;5.640307
"13410";;"Médiathèque municipale";"Lambesc";10175;"Bibliothèque municipale";"Bibliotheque";"";"";1;3;400;43.655529;5.262324
"13700";;"Médiathèque municipale Jean-d Ormesson";"Marignane";32612;"Bibliothèque municipale";"Bibliotheque";"";"";0;10;1700;43.420665;5.207622
"13520";;"Médiathèque municipale Benjamin-Priaulet";"Maussane-les-Alpilles";2412;"Bibliothèque municipale";"Bibliotheque";"";"";3;2;364;43.722475;4.804441
"13520";;"Bibliothèque municipale Hubert-Nyssen";"Paradou";2146;"Bibliothèque municipale";"Bibliotheque";"";"";6;1;107;43.718327;4.7841
"13750";;"Médiathèque municipale";"Plan-d Orgon";3564;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;140;43.814482;5.010215
"13230";;"Médiathèque Intercommunale De Port-St-Louis-Du-Rhône";"Port-Saint-Louis-du-Rhône";8504;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;10;282;43.392184;4.802791
"13340";;"Médiathèque municipale Le jardin des mots";"Rognac";12209;"Bibliothèque municipale";"Bibliotheque";"";"";4;4;195;43.487777;5.232825
"13240";;"Médiathèque municipale Jorgi-Reboul";"Septèmes-les-Vallons";11291;"Bibliothèque municipale";"Bibliotheque";"";"";0;7;890;43.398729;5.366043
"13250";;"Médiathèque municipale";"Saint-Chamas";8720;"Bibliothèque municipale";"Bibliotheque";"";"";4;5;514;43.547977;5.037727
"13119";;"Médiathèque municipale";"Saint-Savournin";3502;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;279;43.406253;5.528028
"13670";;"Mediathèque municipale du Clocher";"Verquières";836;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;150;43.839596;4.918881
"14970";;"Bibliotheque Municipale";"Bénouville";2068;"Bibliothèque municipale";"Bibliotheque";"";"";13;1;100;49.240918;-0.280386
"13090";;"Les Méjanes - Médiabus";"Aix-en-Provence";148336;"Bibliothèque municipale classée";"Bibliotheque";"";"";0;5;236.2;43.52439;5.439656
"14210";;"Médiathèque Municipale";"Évrecy";2040;"Bibliothèque municipale";"Bibliotheque";"";"";12;1;365;49.10109;-0.503122
"14200";;"Bibliothèque D hérouville";"Hérouville-Saint-Clair";22830;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;17;1645;49.20299;-0.332713
"14320";;"Espace bibliothèque Laize";"Laize-Clinchamps";2137;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;71;49.083978;-0.380821
"14830";;"Bibliothèque Municipale";"Langrune-sur-Mer";1982;"Bibliothèque municipale";"Bibliotheque";"";"";10;1;120;49.321367;-0.371164
"14380";;"Médiathèque municipale";"Noues de Sienne";4454;"Bibliothèque municipale";"Bibliotheque";"";"";4;2;360;48.824531;-0.989951
"14800";;"Bibliotheque Municipale";"Touques";3798;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;240;49.346146;0.101924
"15230";;"Médiathèque communautaire de Pierrefort";"Pierrefort";916;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;2;140;44.920477;2.840616
"16170";;"Bibliothèque Intercommunale";"Gourville";3013;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;0;200;45.827277;-0.016344
"16200";;"Médiathèque L Orangerie";"Jarnac";4568;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;7;850;45.678811;-0.17631
"16700";;"Mediathèque Intercommunale";"Ruffec";3522;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;4;970;46.02995;0.199745
"16130";;"Médiathèque Intercommunale";"Segonzac";2151;"Bibliothèque municipale";"Bibliotheque";"";"";8;2;349;45.616532;-0.217796
"16100";;"Bibliotheque Municipale";"Saint-Brice";998;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;230;45.687361;-0.276773
"16710";;"Médiathèque Municipale";"Saint-Yrieix-sur-Charente";7627;"Bibliothèque municipale";"Bibliotheque";"";"";1;4;620;45.675109;0.127531
"16730";;"Point Lecture";"Trois-Palis";962;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;0;16;45.642935;0.053359
"17530";;"Bibliotheque Municipale";"Arvert";3650;"Bibliothèque municipale";"Bibliotheque";"";"";7;1;78;45.741443;-1.124822
"17260";;"Bibliotheque Municipale";"Gémozac";2936;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;170;45.568471;-0.676799
"17160";;"Bibliothèque Municipale";"Haimps";464;"Bibliothèque municipale";"Bibliotheque";"";"";6;0;80;45.86779;-0.263764
"17360";;"Mediatheque Municipale";"Saint-Aigulin";1934;"Bibliothèque municipale";"Bibliotheque";"";"";1;3;326;45.157886;-0.01291
"18400";;"Bibliothèque municipale Boris Vian";"Lunery";1600;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;135;46.935708;2.26941
"18230";;"Médi@thèque";"Saint-Doulchard";9846;"Bibliothèque municipale";"Bibliotheque";"";"";1;5;925;47.101266;2.369439
"19210";;"LUBERSAC MEDIATHEQUE INTERCOMMUNALE";"Lubersac";2279;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;1;230;45.444138;1.402825
"21120";;"Bibliothèque Municipale";"Is-sur-Tille";4462;"Bibliothèque municipale";"Bibliotheque";"";"";8;2;150;47.522443;5.115722
"21120";;"Bibliothèque Municipale";"Marcilly-sur-Tille";1709;"Bibliothèque municipale";"Bibliotheque";"";"";8;2;103;47.520117;5.134825
"21340";;"Bibliothèque Municipale";"Nolay";1457;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;121;46.95224;4.632047
"21320";;"Bibliothèque Municipale";"Pouilly-en-Auxois";1656;"Bibliothèque municipale";"Bibliotheque";"";"";6;1;120;47.2623;4.556171
"21210";;"Médiathèque Municipale";"Saulieu";2481;"Bibliothèque municipale";"Bibliotheque";"";"";5;3;300;47.280062;4.23043
"21420";;"Bibliothèque Municipale";"Savigny-lès-Beaune";1329;"Bibliothèque municipale";"Bibliotheque";"";"";14;2;210;47.06314;4.818087
"21800";;"Médiathèque Michel Pimpie";"Sennecey-lès-Dijon";2018;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;370;47.29562;5.107182
"21850";;"Médialude";"Saint-Apollinaire";7647;"Bibliothèque municipale";"Bibliotheque";"";"";1;7;1173;47.334489;5.085564
"21440";;"Médiathèque Intercommunale";"Saint-Seine-l Abbaye";375;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;3;120;47.440571;4.789253
"21150";;"Médiathèque intercommunale";"Venarey-les-Laumes";2883;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;2;434;47.542445;4.459417
"21290";;"Bibliotheque Intercommunale";"Voulaines-les-Templiers";287;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;100;47.817989;4.786768
"22290";;"Espace l oiseau lyre";"Goudelin";1765;"Bibliothèque municipale";"Bibliotheque";"";"";6;1;103;48.604148;-3.018926
"22150";;"Bibliotheque d Hénon";"Hénon";2304;"Bibliothèque municipale";"Bibliotheque";"";"";8;2;100;48.386317;-2.689574
"22120";;"MEDIATHEQUE MUNICIPALE";"Hillion";4280;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;200;48.514153;-2.669894
"22530";;"Bibliothèque Municipale Guerlédan";"Guerlédan";2503;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;281;48.202635;-2.988033
"22940";;"Médiathèque Brin de Culture";"Plaintel";4532;"Bibliothèque municipale";"Bibliotheque";"";"";12;3;330;48.406767;-2.816457
"22960";;"Mediatheque";"Plédran";6950;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;516;48.445736;-2.746329
"22190";;"Médiathèque - Centre Culturel Le Cap";"Plérin";14796;"Bibliothèque municipale";"Bibliotheque";"";"";0;11;1478;48.532348;-2.766078
"22490";;"Bibliothèque de Pleslin";"Pleslin-Trigavou";3851;"Bibliothèque municipale";"Bibliotheque";"";"";10;2;660;48.53227;-2.05679
"22690";;"Bibliothèque de Pleudihen-sur-Rance";"Pleudihen-sur-Rance";3048;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;236.2;48.510185;-1.952796
"23400";;"Bibliotheque municipale de Bourganeuf";"Bourganeuf";2691;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;160;45.95507;1.756988
"23170";;"Médiathèque intercommunale Creuse Confluence";"Chambon-sur-Voueize";880;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;3;433;46.188037;2.427741
"23350";;"Mediatheque municipale Maurice Teinturier";"Genouillac";739;"Bibliothèque municipale";"Bibliotheque";"";"";1;2;190;46.353036;1.992152
"24660";;"Bibliothèque François Rabelais";"Coulounieix-Chamiers";7683;"Bibliothèque municipale";"Bibliotheque";"";"";0;4;300;45.171944;0.687004
"24620";;"Bibliothèque";"Les Eyzies-de-Tayac-Sireuil";1113;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;90;44.936072;1.012682
"24680";;"Médiathèque de Lamonzie-Saint-Martin";"Lamonzie-Saint-Martin";2644;"Bibliothèque intercommunale";"Bibliotheque";"";"";1;2;240;44.842206;0.382081
"24110";;"Bibliothèque";"Léguillac-de-l Auche";1009;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;62;45.184623;0.554723
"24430";;"Mediathèque Diapason";"Marsac-sur-l Isle";3217;"Bibliothèque municipale";"Bibliotheque";"";"";2;2;555;45.192591;0.665559
"24220";;"Bibliothèque";"Meyrals";673;"Bibliothèque municipale";"Bibliotheque";"";"";2;1;50;44.899451;1.06498
"25420";;"Bibliothèque Municipale";"Bart";2004;"Bibliothèque municipale";"Bibliotheque";"";"";7;0;100;47.478438;6.768117
"25320";;"Bibliothèque municipale";"Chemaudin et Vaux";2060;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;110;47.223628;5.896566
"25410";;"Bibliothèque municipale";"Dannemarie-sur-Crète";1812;"Bibliothèque municipale";"Bibliotheque";"";"";5;1;100;47.202376;5.874667
"25480";;"Médiathèque Municipale";"École-Valentin";2682;"Bibliothèque municipale";"Bibliotheque";"";"";7;2;300;47.276204;5.991137
"25300";;"Bibliothèque municipale";"Les Fourgs";1436;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;159;46.835064;6.40032
"25310";;"Bibliothèque municipale";"Hérimoncourt";3724;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;300;47.442506;6.883728
"25370";;"Bibliothèque municipale";"Jougne";1834;"Bibliothèque municipale";"Bibliotheque";"";"";5;1;100;46.760506;6.389794
"25120";;"Bibliothèque Municipale";"Maîche";4369;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;325;47.250761;6.795441
"25160";;"Bibliothèque Pierre Bichet";"Oye-et-Pallet";740;"Bibliothèque municipale";"Bibliotheque";"";"";4;1;90;46.855111;6.334816
"25210";;"Bibliothèque municipale";"Le Russey";2460;"Bibliothèque municipale";"Bibliotheque";"";"";13;0;140;47.162401;6.729225
"25700";;"Médiathèque Jules Carrez";"Valentigney";11441;"Bibliothèque municipale";"Bibliotheque";"";"";0;4;411;47.469574;6.833652
"25420";;"Mediathèque Nelson Mandela";"Voujeaucourt";3233;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;250;47.475873;6.774582
"26140";;"Médiathèque Pierre  Mendes  France";"Albon";2022;"Bibliothèque municipale";"Bibliotheque";"";"";5;1;154;45.24359;4.851912
"26200";;"Bibliothèque municipals Ancône";"Ancône";1398;"Bibliothèque municipale";"Bibliotheque";"";"";4;1;75;44.582732;4.72684
"26400";;"Médiathèque départementale Vallée de la Drôme";"Crest";8954;"Bibliothèque départementale";"Bibliotheque";"";"";0;17;1400;44.730553;5.016734
"26290";;"Médiathèque municipale Donzère";"Donzère";6023;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;150;44.4433;4.711471
"26270";;"Médiathèque municipale Loriol-sur-Drôme";"Loriol-sur-Drôme";6710;"Bibliothèque municipale";"Bibliotheque";"";"";3;4;140;44.75382;4.824625
"26350";;"Bibliothèque intercommunale Valherbasse";"Valherbasse";1049;"Bibliothèque municipale";"Bibliotheque";"";"";13;0;55;45.21867;5.131476
"26130";;"Bibliothèque Lire à Montségur";"Montségur-sur-Lauzon";1375;"Bibliothèque municipale";"Bibliotheque";"";"";12;1;130;44.361493;4.860211
"26380";;"Bibliothèque municipale Peyrins";"Peyrins";2698;"Bibliothèque municipale";"Bibliotheque";"";"";4;1;104;45.093423;5.048115
"26400";;"Bibliothèque intercommunale Saou / Soyans";"Saou";590;"Bibliothèque municipale";"Bibliotheque";"";"";10;0;60;44.647181;5.065221
"26190";;"Bibliothèque-Ludothèque St-Laurent-en-Royans";"Saint-Laurent-en-Royans";1469;"Bibliothèque intercommunale";"Bibliotheque";"";"";8;2;194;45.029146;5.327392
"26750";;"Bibliothèque communale St-Paul-Lès-Romans";"Saint-Paul-lès-Romans";1877;"Bibliothèque municipale";"Bibliotheque";"";"";10;0;70;45.066531;5.134682
"26790";;"Bibliothèque Farandole de Livres";"Tulette";2052;"Bibliothèque municipale";"Bibliotheque";"";"";14;0;62;44.286459;4.933172
"27120";;"Médiathèque";"Pacy-sur-Eure";5183;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;3;652;49.01384;1.382869
"27130";;"Médiathèque Jérôme Carcopino";"Verneuil d Avre et d Iton";7978;"Bibliothèque municipale";"Bibliotheque";"";"";0;6;400;48.737511;0.929994
"28190";;"Médiathèque  de Courville";"Courville-sur-Eure";2892;"Bibliothèque municipale";"Bibliotheque";"";"";7;2;95;48.447888;1.237339
"28310";;"Médiathèque de Toury";"Toury";2627;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;180;48.194135;1.938553
"29190";;"Bibliotheque Associative";"Brasparts";1039;"Bibliothèque municipale";"Bibliotheque";"";"";25;0;50;48.300733;-3.955236
"29570";;"BIBLIOTHEQUE  MUNICIPALE SAINT-POL-ROUX";"Camaret-sur-Mer";2521;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;133;48.275441;-4.597204
"29660";;"Médiathèque de Carantec";"Carantec";3292;"Bibliothèque municipale";"Bibliotheque";"";"";6;3;343;48.665676;-3.916194
"29300";;"Bibliotheque Municipale";"Guilligomarc h";786;"Bibliothèque municipale";"Bibliotheque";"";"";3;2;108;47.935709;-3.41597
"29810";;"MEDIATHEQUE MUNICIPALE TY-BOUKIN";"Lampaul-Plouarzel";2198;"Bibliothèque municipale";"Bibliotheque";"";"";52;1;254;48.449094;-4.765983
"29290";;"BIBLIOTHEQUE  MUNICIPALE  JACQUES  PREVERT";"Lanrivoaré";1497;"Bibliothèque municipale";"Bibliotheque";"";"";16;1;70;48.473703;-4.639787
"29750";;"Médiathèque de Loctudy";"Loctudy";4120;"Bibliothèque municipale";"Bibliotheque";"";"";2;1;260;47.832637;-4.169241
"29860";;"Bibliotheque Municipale";"Plabennec";8679;"Bibliothèque municipale";"Bibliotheque";"";"";14;3;558;48.504357;-4.423731
"29190";;"Bibliotheque Municipale";"Pleyben";3905;"Bibliothèque municipale";"Bibliotheque";"";"";15;1;342;48.224441;-3.968808
"29600";;"Mediatheque Municipale";"Plourin-lès-Morlaix";4808;"Bibliothèque municipale";"Bibliotheque";"";"";6;4;471;48.529935;-3.790403
"24750";;"Bibliothèque";"Le Lardin-Saint-Lazare";1726;"Bibliothèque municipale";"Bibliotheque";"";"";1;1;108;45.13852225;0.787836
"30730";;"Bibliotheque de Montpezat";"Montpezat";1389;"Bibliothèque municipale";"Bibliotheque";"";"";8;0;160;43.9073039;4.1801381
