NOM,CP,DOMAINE_SOUS_TYPE,COMMUNE,numdep,nomdept,nomReg,codeReg,ENTRE_GRATUIT,ENTRE_PAYANT,ENTRE_TOTAL
musée Alice Taverne,42820,Ethnologie,AMBIERLE,42,LOIRE,Auvergne-Rhône-Alpes,84,860.0,2693.0,3553.0
musée Roybet Fould,92400,Histoire,COURBEVOIE,92,HAUTS-DE-SEINE,Île-de-France,11,2815.0,207.0,3022.0
musée des travaux publics,92400,Industrie,COURBEVOIE,92,HAUTS-DE-SEINE,Île-de-France,11,,,
musée Théophile Jouglet,59410,Histoire,ANZIN,59,NORD,Hauts-de-France,32,2014.0,0.0,2014.0
Musée Nissim de Camondo,75008,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
"musée Cernuschi, musée des arts de l’Asie de la ville de Paris",75008,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,34852.0,23383.0,58235.0
Musée Jacquemart-André,75008,Art,PARIS,75,PARIS,Île-de-France,11,,,
Universcience,75008,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
Fonds de dotation pour la gestion et la valorisation du patrimoine pharmaceutique,75008,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Le Petit Palais,75008,Art,PARIS,75,PARIS,Île-de-France,11,,,
Jeu de Paume,75008,Art,PARIS,75,PARIS,Île-de-France,11,,,
Les éditions Marcomir,75008,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
"petit Palais, musée des beaux-arts de la ville de Paris",75008,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,428024.0,89600.0,517624.0
musée Nissim de Camondo (Union centrale des arts décoratifs),75008,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,10670.0,15004.0,25674.0
musée Léon Dierx,97400,Art,SAINT-DENIS_DE_LA_REUNION,974,REUNION,La Réunion,4,11066.0,4439.0,15505.0
muséum d histoire naturelle,97400,Sciences de la nature,SAINT-DENIS_DE_LA_REUNION,974,REUNION,La Réunion,4,13100.0,6820.0,19920.0
Centre national des arts plastiques,75013,Art,PARIS,75,PARIS,Île-de-France,11,,,
Mobilier national,75013,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
OPPIC,75013,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Compagnie Caktus,75013,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Éditions La Découverte,75013,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Films pour enfants,75013,Art,PARIS,75,PARIS,Île-de-France,11,,,
Pôle de conservation des archives des associations de jeunesse et d éducation populaire,75013,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Institut Français de la Mode,75013,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
musée des Saintes-Maries-de-la-Mer,13460,Archéologie,SAINTES-MARIES-DE-LA-MER,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,0.0,673.0,673.0
Fonds régional d art contemporain - Nouvelle-Aquitaine,87000,Art,LIMOGES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,,,
Carré d Art-Musée d art contemporain,87000,Art,NÎMES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,,,
Bibliothèque numérique du Limousin,87000,Sciences de la nature,LIMOGES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,,,
Musée national Adrien Dubouché,87000,Musées,LIMOGES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,,,
Ville de Limoges,87000,Art,LIMOGES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,,,
Cinémathèque de Nouvelle-Aquitaine,87000,Histoire,LIMOGES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,,,
musée de la porcelaine Adrien Dubouché à Limoges,87000,Archéologie,LIMOGES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,8844.0,10975.0,19819.0
musée des Beaux-Arts de Limoges – Palais de l Evêché,87000,Archéologie,LIMOGES,87,HAUTE-VIENNE,Nouvelle-Aquitaine,75,18461.0,0.0,18461.0
Institut national de l audiovisuel (INA),94360,Histoire,BRY-SUR-MARNE,94,VAL-DE-MARNE,Île-de-France,11,,,
musée Adrien Mentienne,94360,Archéologie,BRY-SUR-MARNE,94,VAL-DE-MARNE,Île-de-France,11,2869.0,0.0,2869.0
Musée de l Ardenne - musée Arthur Rimbaud,75012,Histoire,CHARLEVILLLE-MÉZIÈRES,75,PARIS,Île-de-France,11,,,
Région Occitanie,75012,Archéologie,MONTPELLIR,75,PARIS,Île-de-France,11,,,
Centre d action sociale de la Ville de Paris,75012,Art,PARIS,75,PARIS,Île-de-France,11,,,
Aquarium tropical,75012,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Réunion des musées nationaux - Grand Palais (Rmn-GP),75012,Art,PARIS,75,PARIS,Île-de-France,11,,,
Musée national de l histoire de l immigration (EPPD),75012,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
musée national de l histoire et des cultures de l immigration,75012,,PARIS,75,PARIS,Île-de-France,11,182267.0,66021.0,248288.0
Musée Fournaise,78400,Art,CHATOU,78,YVELINES,Île-de-France,11,,,
Bibliothèque Patrimoniale Pau,64000,Histoire,PAU,64,PYRENEES-ATLANTIQUES,Nouvelle-Aquitaine,75,,,
musée Bernadotte,64000,Arts décoratif,PAU,64,PYRENEES-ATLANTIQUES,Nouvelle-Aquitaine,75,2634.0,14.0,2648.0
musée national du château de Pau,64000,Arts décoratif,PAU,64,PYRENEES-ATLANTIQUES,Nouvelle-Aquitaine,75,19523.0,24119.0,43642.0
musée des Beaux-Arts,64000,Arts décoratif,PAU,64,PYRENEES-ATLANTIQUES,Nouvelle-Aquitaine,75,16503.0,334.0,16837.0
musée du Louvre,75001,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,1643516.0,1181523.0,2825039.0
Musée des arts décoratifs,75001,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
Médiathèque musicale de Paris,75001,Art,PARIS,75,PARIS,Île-de-France,11,,,
Présidence de la République,75001,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Beaux Arts Magazine (Beaux Arts & Cie),75001,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
Musée du Louvre,75001,Art,PARIS,75,PARIS,Île-de-France,11,,,
Ministère de la Culture,75001,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Ecole du Louvre,75001,Art,PARIS,75,PARIS,Île-de-France,11,,,
Musée en Herbe,75001,Art,PARIS,75,PARIS,Île-de-France,11,,,
Bourse de Commerce - Pinault Collection,75001,Art,PARIS,75,PARIS,Île-de-France,11,,,
Délégation générale à la langue française et aux langues de France,75001,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Comédie Française,75001,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
musée des arts décoratifs (Union centrale des arts décoratifs),75001,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,238541.0,152838.0,391379.0
musée de La Poste,75001,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,5250.0,14830.0,20080.0
musée national d art moderne (centre national d’art et de culture Georges Pompidou),75001,Art,PARIS,75,PARIS,Île-de-France,11,443864.0,1128423.0,1572287.0
musée de l Orangerie des Tuileries,75001,Art,PARIS,75,PARIS,Île-de-France,11,168835.0,211312.0,380147.0
Bibliothèque de l’Assemblée Nationale,75001,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Musée des Beaux-Arts,14000,Art,CAEN,14,CALVADOS,Normandie,28,,,
Ecole supérieure d arts & médias,14000,Arts décoratif,CAEN,14,CALVADOS,Normandie,28,,,
musée de Normandie,14000,,CAEN,14,CALVADOS,Normandie,28,,,
Région Normandie,14000,Archéologie,CAEN,14,CALVADOS,Normandie,28,,,
musée de la Société des antiquaires de Normandie,14000,Arts décoratif,CAEN,14,CALVADOS,Normandie,28,,,
"mémorial de Caen, un musée pour la paix",14000,Histoire,CAEN,14,CALVADOS,Normandie,28,29964.0,170153.0,200117.0
musée de Normandie,14000,Archéologie,CAEN,14,CALVADOS,Normandie,28,10943.0,6438.0,17381.0
musée des beaux-arts,14000,Arts décoratif,CAEN,14,CALVADOS,Normandie,28,36981.0,24366.0,61347.0
musée d initiation à la nature,14000,Sciences de la nature,CAEN,14,CALVADOS,Normandie,28,4581.0,0.0,4581.0
musée des Corbières,11130,Archéologie,SIGEAN,11,AUDE,Occitanie,76,386.0,144.0,530.0
Musée des beaux-arts de Brest métropole,29200,Musées,BREST,29,FINISTERE,Bretagne,53,,,
Documents d Artistes Bretagne,29200,Art,BREST,29,FINISTERE,Bretagne,53,,,
Cinémathèque de Bretagne,29200,Art,BREST,29,FINISTERE,Bretagne,53,,,
musée des Beaux-Arts,29200,Arts décoratif,BREST,29,FINISTERE,Bretagne,53,7293.0,3894.0,11187.0
site du musée national de la Marine,29200,Archéologie,BREST,29,FINISTERE,Bretagne,53,,,
Centre de Culture Scientifique Technique et Industriel Parc Aux Etoiles,78510,Sciences de la nature,TRIEL SUR SEIN,78,YVELINES,Île-de-France,11,,,
Musée Fabre,34000,Arts décoratif,MONTPELLIER,34,HERAULT,Occitanie,76,,,
Fonds régional d art contemporain - Occitanie,34000,Art,MONTPELLIER,34,HERAULT,Occitanie,76,,,
musée Languedocien,34000,Archéologie,MONTPELLIER,34,HERAULT,Occitanie,76,4566.0,5580.0,10146.0
musée du vieux Montpellier,34000,Arts décoratif,MONTPELLIER,34,HERAULT,Occitanie,76,3585.0,0.0,3585.0
musée Fabre,34000,Arts décoratif,MONTPELLIER,34,HERAULT,Occitanie,76,48710.0,41250.0,89960.0
musée de l’hôtel d Espeyran,34000,Art,MONTPELLIER,34,HERAULT,Occitanie,76,708.0,5127.0,5835.0
"LaM, Lille Métropole musée d art moderne, d art contemporain et d art brut",59150,Art,VILLENEUVE_D_ASCQ,59,NORD,Hauts-de-France,32,15326.0,64277.0,79603.0
"LaM - Lille Métropole Musée d art moderne, d art contemporain et d art brut",59150,Art,VILLENEUVE D_ASCQ,59,NORD,Hauts-de-France,32,,,
musée Dunoyer de Segonzac,91800,Art,BOUSSY-SAINT-ANTOINE,91,ESSONNE,Île-de-France,11,50.0,0.0,50.0
musée municipal Robert Dubois-Corneau,91800,Arts décoratif,BRUNOY,91,ESSONNE,Île-de-France,11,2306.0,0.0,2306.0
Videomuseum,75004,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Direction des Affaires Culturelles / Bureau du livre et de la lecture,75004,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Centre Wallonie-Bruxelles,75004,Art,PARIS,75,PARIS,Île-de-France,11,,,
Musée de l Assistance publique - Hôpitaux de Paris,75004,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
CAUE de Paris,75004,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Maison Européenne de la photographie (MEP),75004,Photographie,PARIS,75,PARIS,Île-de-France,11,,,
Le Centre des monuments nationaux,75004,Archéologie,PARIS,75,PARIS,Île-de-France,11,,,
Centre Pompidou,75004,Art,PARIS,75,PARIS,Île-de-France,11,,,
Bibliothèque publique d information,75004,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
Cité internationale des arts,75004,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
Musée d art et d histoire du Judaïsme,75004,Musées,PARIS,75,PARIS,Île-de-France,11,,,
Musée de la gendarmerie nationale,75004,Musées,PARIS,75,PARIS,Île-de-France,11,,,
Maison de Victor Hugo,75004,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,36675.0,42110.0,78785.0
musée de la société d études scientifiques et archéologiques,83300,,DRAGUIGNAN,83,VAR,Provence-Alpes-Côte d Azur,93,505.0,0.0,505.0
musée des Beaux-Arts,83300,Archéologie,DRAGUIGNAN,83,VAR,Provence-Alpes-Côte d Azur,93,1159.0,0.0,1159.0
musée de l’artillerie et de l’Infanterie,83300,Histoire,DRAGUIGNAN,83,VAR,Provence-Alpes-Côte d Azur,93,6686.0,0.0,6686.0
musée des arts et traditions populaires de moyenne Provence,83300,Ethnologie,DRAGUIGNAN,83,VAR,Provence-Alpes-Côte d Azur,93,3467.0,625.0,4092.0
musée Picasso,06600,Art,ANTIBES,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,0.0,72830.0,72830.0
musée d Archéologie,06600,Archéologie,ANTIBES,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,2446.0,3187.0,5633.0
musée de l Ephèbe,34300,Archéologie,AGDE,34,HERAULT,Occitanie,76,3337.0,5879.0,9216.0
musée Agathois,34300,Archéologie,AGDE,34,HERAULT,Occitanie,76,259.0,2759.0,3018.0
muséum Agricole et industriel - Stella matutina,97413,Histoire,PITON-SAINT-LEU,974,REUNION,La Réunion,4,14476.0,42723.0,57199.0
Visite 360 Pro,59110,Sciences de la nature,LA MADELEINE,59,NORD,Hauts-de-France,32,,,
Ecomusée de la Martinique,97211,Histoire,RIVIERE-PILOTE,972,MARTINIQUE,Martinique,2,247.0,1940.0,2187.0
musée des années trente,92100,Arts décoratif,BOULOGNE-BILLANCOURT,92,HAUTS-DE-SEINE,Île-de-France,11,0.0,13722.0,13722.0
musée départemental Albert-Kahn,92100,Histoire,BOULOGNE-BILLANCOURT,92,HAUTS-DE-SEINE,Île-de-France,11,30056.0,52148.0,82204.0
musée-jardin Paul Landowski,92100,Art,BOULOGNE-BILLANCOURT,92,HAUTS-DE-SEINE,Île-de-France,11,7669.0,1914.0,9583.0
musée Bonnard,06110,Art,LE_CANNET,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,3577.0,13371.0,16948.0
Éditions Dargaud,75019,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Cité des sciences et de l industrie,75019,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Cité des sciences et de l industrie,75019,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Archives municipales,75019,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Le rap en France,75019,Art,PARIS,75,PARIS,Île-de-France,11,,,
La Pop,75019,Art,PARIS,75,PARIS,Île-de-France,11,,,
Collège de France,75019,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Fonds régional d art contemporain - Île-de-France,75019,Art,PARIS,75,PARIS,Île-de-France,11,,,
musée de la musique,75019,Musique,PARIS,75,PARIS,Île-de-France,11,76291.0,152194.0,228485.0
musée Saint-John-Perse,97110,Histoire,POINTE-A-PITRE,971,GUADELOUPE,Guadeloupe,1,,,
musée départemental d art et d histoire,97110,Arts décoratif,POINTE-A-PITRE,971,GUADELOUPE,Guadeloupe,1,511.0,0.0,511.0
Gonzo Music,75020,Art,PARIS,75,PARIS,Île-de-France,11,,,
La Colline - théâtre national,75020,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Keeku,75020,Art,PARIS,75,PARIS,Île-de-France,11,,,
Noto,75020,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
musée d histoire de la ville et d’ethnographie du pays malouin,35400,Archéologie,SAINT-MALO,35,ILLE-ET-VILAINE,Bretagne,53,12920.0,19379.0,32299.0
musée du Long-Cours Cap-Hornier,35400,Sciences de la nature,SAINT-MALO,35,ILLE-ET-VILAINE,Bretagne,53,9357.0,8303.0,17660.0
musée Labenche,19100,Archéologie,BRIVE-LA-GAILLARDE,19,CORREZE,Nouvelle-Aquitaine,75,19563.0,1209.0,20772.0
musée Jean-Jacques Rousseau,95160,Art,MONTMORENCY,95,VAL-D OISE,Île-de-France,11,1713.0,841.0,2554.0
Palais des Beaux-Arts,59000,Art,LILLE,59,NORD,Hauts-de-France,32,,,
Métropole Européenne,59000,Sciences de la nature,LILLE,59,NORD,Hauts-de-France,32,,,
musée de l hospice Comtesse,59000,Arts décoratif,LILLE,59,NORD,Hauts-de-France,32,25292.0,16991.0,42283.0
musée des Beaux-Arts,59000,Archéologie,LILLE,59,NORD,Hauts-de-France,32,82837.0,87128.0,169965.0
musée d histoire naturelle et de géologie,59000,Arts décoratif,LILLE,59,NORD,Hauts-de-France,32,55972.0,33119.0,89091.0
musée des Manufactures de Dentelle,43130,Arts décoratif,RETOURNAC,43,HAUTE-LOIRE,Auvergne-Rhône-Alpes,84,1771.0,1304.0,3075.0
musée archéologique,21000,Archéologie,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,12842.0,0.0,12842.0
Musées de Dijon,21000,Musées,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,,,
Villes et Pays d’art et d’histoire,21000,Histoire,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,,,
Bibliothèque municipale,21000,Art,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,,,
ST ART,21000,Art,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,,,
musée d art sacré,21000,Arts décoratif,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,6467.0,0.0,6467.0
muséum d Histoire Naturelle,21000,Sciences de la nature,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,47429.0,3617.0,51046.0
musée national Magnin,21000,Arts décoratif,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,3629.0,3311.0,6940.0
musée de la vie bourguignonne,21000,Histoire,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,17741.0,0.0,17741.0
musée Rude,21000,Art,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,51684.0,0.0,51684.0
musée des beaux-arts,21000,Arts décoratif,DIJON,21,COTE-D OR,Bourgogne-Franche-Comté,27,146680.0,0.0,146680.0
TV5 Monde,75017,Art,PARIS,75,PARIS,Île-de-France,11,,,
Kutì Kutì,75017,Art,PARIS,75,PARIS,Île-de-France,11,,,
Musée national Jean-Jacques Henner,75017,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
musée Jean-Jacques Henner,75017,Art,PARIS,75,PARIS,Île-de-France,11,4554.0,3052.0,7606.0
MUS - musée d histoire urbaine et sociale de Suresnes,92150,Arts décoratif,SURESNES,92,HAUTS-DE-SEINE,Île-de-France,11,4138.0,2244.0,6382.0
Médiathèque Jacques-Chirac,10000,Histoire,TROYES,10,AUBE,Grand Est,44,,,
musée historique de Troyes et de la Champagne,10000,Histoire,TROYES,10,AUBE,Grand Est,44,5008.0,2044.0,7052.0
maison de l outil et de la pensée ouvrière,10000,Histoire,TROYES,10,AUBE,Grand Est,44,1567.0,9402.0,10969.0
musée des beaux-arts et d’archéologie,10000,Archéologie,TROYES,10,AUBE,Grand Est,44,15816.0,3287.0,19103.0
Pharmacie musée de l Hôtel-Dieu,10000,Arts décoratif,TROYES,10,AUBE,Grand Est,44,4869.0,1196.0,6065.0
musée d Art Moderne,10000,Arts décoratif,TROYES,10,AUBE,Grand Est,44,687.0,8359.0,9046.0
musée de la bonneterie,10000,Arts décoratif,TROYES,10,AUBE,Grand Est,44,,,
musée international de la parfumerie,06130,Archéologie,GRASSE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,27197.0,49127.0,76324.0
musée Fragonard,06130,Art,GRASSE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,1596.0,0.0,1596.0
musée d art et d histoire de Provence,06130,Archéologie,GRASSE,06,ALPES-MARITIMES,Provence-Alpes-Côte d Azur,93,4525.0,1488.0,6013.0
musée d Art et d histoire - Roger Rodière,62172,Archéologie,MONTREUIL-SUR-MER,62,PAS-DE-CALAIS,Hauts-de-France,32,0.0,20000.0,20000.0
Musée des Beaux-Arts,29000,Arts décoratif,QUIMPER,29,FINISTERE,Bretagne,53,,,
musée départemental breton,29000,Archéologie,QUIMPER,29,FINISTERE,Bretagne,53,21475.0,24281.0,45756.0
musée des beaux-arts,29000,Arts décoratif,QUIMPER,29,FINISTERE,Bretagne,53,2386.0,30050.0,32436.0
Citadelle de Belfort,90000,Histoire,BELFORT,90,TERRITOIRE DE BELFORT,Bourgogne-Franche-Comté,27,,,
musée d art et d histoire,90000,Archéologie,BELFORT,90,TERRITOIRE DE BELFORT,Bourgogne-Franche-Comté,27,12391.0,2434.0,14825.0
cabinet d un amateur - donation Maurice Jardot,90000,Art,BELFORT,90,TERRITOIRE DE BELFORT,Bourgogne-Franche-Comté,27,3981.0,586.0,4567.0
musée napoléonien et musée africain (annexes du musée national des châteaux de Malmaison et de Bois Préau),17123,Arts décoratif,ILE_D_AIX,17,CHARENTE-MARITIME,Nouvelle-Aquitaine,75,7983.0,11861.0,19844.0
Médiathèque de Salon-de-Provence,13300,Sciences de la nature,SALON-DE-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,,,
musée de Salon et de la Crau,13300,Arts décoratif,SALON-DE-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,,,
musée de l Empéri,13300,Arts décoratif,SALON-DE-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,,,
musée de l Air et de l Espace,93350,Histoire,LE_BOURGET,93,SEINE-SAINT-DENIS,Île-de-France,11,50133.0,63551.0,113684.0
Musée de l Air et de l Espace – Aéroport de Paris-le Bourget,93350,Sciences de la nature,LE BOURGET,93,SEINE-SAINT-DENIS,Île-de-France,11,,,
fondation Arp,92140,,CLAMART,92,HAUTS-DE-SEINE,Île-de-France,11,800.0,2200.0,3000.0
Bayard Presse,92120,Sciences de la nature,MONTROUGE,92,HAUTS-DE-SEINE,Île-de-France,11,,,
musée d histoire de Marseille,13080,Archéologie,MARSEILLE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,0.0,25891.0,25891.0
Musée Granet,13080,Art,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,,,
Théâtre du Jeu de Paume,13080,Histoire,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,,,
musée des tapisseries,13080,Arts décoratif,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,5992.0,2990.0,8982.0
musée Paul Arbaud,13080,Arts décoratif,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,1931.0,568.0,2499.0
musée du pavillon de Vendôme,13080,Arts décoratif,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,5710.0,3286.0,8996.0
musée du vieil Aix,13080,Arts décoratif,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,4302.0,2258.0,6560.0
Fondation Vasarély,13080,Art,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,5299.0,34969.0,40268.0
muséum d histoire naturelle,13080,Histoire,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,3938.0,4583.0,8521.0
Cabinet des Monnaies et Médailles,13080,Archéologie,MARSEILLE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,1665.0,0.0,1665.0
musée de l atelier de Paul Cézanne,13080,Arts décoratif,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,0.0,24262.0,24262.0
musée Granet,13080,Archéologie,AIX-EN-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,44543.0,60469.0,105012.0
musée Grobet-Labadié,13080,Arts décoratif,MARSEILLE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,0.0,1683.0,1683.0
musée Soulages,12000,Art,RODEZ,12,AVEYRON,Occitanie,76,21795.0,65043.0,86838.0
musée des beaux-arts Denys Puech,12000,Art,RODEZ,12,AVEYRON,Occitanie,76,7009.0,0.0,7009.0
musée Fenaille,12000,Archéologie,RODEZ,12,AVEYRON,Occitanie,76,6204.0,14471.0,20675.0
Médiathèque Enghien-les-Bains,95880,Sciences de la nature,ENGHIEN-LES-BAINS,95,VAL-D OISE,Île-de-France,11,,,
Centre des arts,95880,Art,ENGHIEN LES BAINS,95,VAL-D OISE,Île-de-France,11,,,
musée des Alpilles Pierre de Brun,13210,Archéologie,SAINT-REMY-DE-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,2673.0,2126.0,4799.0
musée Estrine,13210,Art,SAINT-REMY-DE-PROVENCE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,3293.0,7824.0,11117.0
Fédération des Actrices et Acteurs des Musiques et Danses Traditionnelles (FAMDT),44000,Histoire,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,,,
musée Dobrée,44000,Archéologie,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,23178.0,0.0,23178.0
Archives municipales,44000,Histoire,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,,,
Le Lieu Unique,44000,Sciences de la nature,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,,,
La Cité des Congrès de Nantes / Les UTOPIALES,44000,Art,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,,,
Grand Patrimoine de Loire-Atlantique,44000,Histoire,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,,,
Studio Sherlock - Le patrimoine en mouvement,44000,Archéologie,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,,,
muséum d Histoire Naturelle,44000,Sciences de la nature,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,47000.0,29000.0,76000.0
musée du Château des Ducs de Bretagne,44000,Arts décoratif,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,47524.0,72816.0,120340.0
musée des Beaux-Arts,44000,Art,NANTES,44,LOIRE-ATLANTIQUE,Pays de la Loire,52,76457.0,49828.0,126285.0
mahJ,75003,Archéologie,PARIS,75,PARIS,Île-de-France,11,,,
Musée Picasso,75003,Musées,PARIS,75,PARIS,Île-de-France,11,,,
Musée des Arts et Métiers,75003,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
ministère de la Culture,75003,Photographie,PARIS,75,PARIS,Île-de-France,11,,,
Bibliothèques de la Ville de Paris,75003,Art,PARIS,75,PARIS,Île-de-France,11,,,
Ville de Nîmes,75003,Histoire,NÎMES,75,PARIS,Île-de-France,11,,,
Portail FranceArchives,75003,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Musée de la Chasse et de la Nature,75003,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,,,
Le Carreau du Temple,75003,Art,PARIS,75,PARIS,Île-de-France,11,,,
Gaîté lyrique,75003,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Labo Des Histoires,75003,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Maison de la Poésie,75003,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
musée de la Chasse et de la Nature,75003,Histoire,PARIS,75,PARIS,Île-de-France,11,32628.0,29766.0,62394.0
"musée Cognacq-Jay, musée du XVIIIe siècle de la ville de Paris",75003,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,26976.0,16434.0,43410.0
musée Carnavalet – histoire de Paris,75003,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,43351.0,254374.0,297725.0
musée d Art et d Histoire du Judaïsme,75003,Archéologie,PARIS,75,PARIS,Île-de-France,11,35986.0,52739.0,88725.0
musée des arts et métiers,75003,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,74048.0,22157.0,96205.0
musée national Picasso - Paris,75003,Archéologie,PARIS,75,PARIS,Île-de-France,11,96669.0,72720.0,169389.0
Archives municipales,13980,Histoire,MARSEILLE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,,,
