NOM,CP,DOMAINE_SOUS_TYPE,COMMUNE,numdep,nomdept,nomReg,codeReg,ENTRE_GRATUIT,ENTRE_PAYANT,ENTRE_TOTAL
musée Barbey d Aurevilly,50390,Histoire,SAINT-SAUVEUR-LE-VICOMTE,50,MANCHE,Normandie,28,164.0,594.0,758.0
musée Richard Anacréon,50400,Arts décoratif,GRANVILLE,50,MANCHE,Normandie,28,4979.0,5140.0,10119.0
musée d’Art et d’Histoire de Granville,50400,Histoire,GRANVILLE,50,MANCHE,Normandie,28,36.0,0.0,36.0
musée Christian Dior,50400,Arts décoratif,GRANVILLE,50,MANCHE,Normandie,28,5863.0,50241.0,56104.0
musée régional du cidre et du calvados,50700,Sciences de la nature,VALOGNES,50,MANCHE,Normandie,28,1149.0,1003.0,2152.0
musée du Poiré,50720,Histoire,BARENTON,50,MANCHE,Normandie,28,3770.0,254.0,4024.0
musée de la Libération,50240,Histoire,CHERBOURG-EN-COTENTIN,50,MANCHE,Normandie,28,4278.0,1417.0,5695.0
muséum Emmanuel-Liais,50240,Archéologie,CHERBOURG-EN-COTENTIN,50,MANCHE,Normandie,28,963.0,286.0,1249.0
musée Thomas-Henry,50240,Arts décoratif,CHERBOURG-EN-COTENTIN,50,MANCHE,Normandie,28,8372.0,2563.0,10935.0
musée de l Abbaye,50680,Archéologie,CERISY-LA-FORET,50,MANCHE,Normandie,28,915.0,5038.0,5953.0
musée municipal de l Avranchin,50300,Archéologie,AVRANCHES,50,MANCHE,Normandie,28,3115.0,2621.0,5736.0
musée du château,50580,Arts décoratif,TORIGNI-LES-VILLES,50,MANCHE,Normandie,28,40.0,60.0,100.0
musée Quesnel-Morinière,50200,Archéologie,COUTANCES,50,MANCHE,Normandie,28,0.0,3732.0,3732.0
Palais des ducs de Lorraine - Musée lorrain,54000,Art,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,,,
Bibliothèques de Nancy,54000,Sciences de la nature,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,,,
Musée des Beaux-Arts de Nancy,54000,Arts décoratif,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,,,
Bibliothèques de Nancy,54000,Sciences de la nature,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,,,
musée des Beaux-Arts,54000,Arts décoratif,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,40570.0,19495.0,60065.0
musée lorrain,54000,Archéologie,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,43977.0,0.0,43977.0
musée de l Ecole de Nancy,54000,Arts décoratif,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,15644.0,11351.0,26995.0
muséum-Aquarium de Nancy,54000,Sciences de la nature,NANCY,54,MEURTHE-ET-MOSELLE,Grand Est,44,53424.0,20090.0,73514.0
musée municipal des émaux et faïences,54400,Arts décoratif,LONGWY,54,MEURTHE-ET-MOSELLE,Grand Est,44,446.0,903.0,1349.0
musée du château,54300,Arts décoratif,LUNEVILLE,54,MEURTHE-ET-MOSELLE,Grand Est,44,58556.0,9002.0,67558.0
Château de Lunéville,54300,Histoire,LUNEVILLE,54,MEURTHE-ET-MOSELLE,Grand Est,44,,,
musée Les Sources d Hercule,54120,Archéologie,DENEUVRE,54,MEURTHE-ET-MOSELLE,Grand Est,44,321.0,636.0,957.0
musée d’art et d’histoire,54200,Archéologie,TOUL,54,MEURTHE-ET-MOSELLE,Grand Est,44,3000.0,0.0,3000.0
écomusée,66570,Archéologie,SAINT-NAZAIRE,66,PYRENEES-ORIENTALES,Occitanie,76,3236.0,10603.0,13839.0
Le Grand Café - centre d art contemporain,66570,Art,SAINT-NAZAIRE,66,PYRENEES-ORIENTALES,Occitanie,76,,,
musée de Préhistoire,66720,Archéologie,TAUTAVEL,66,PYRENEES-ORIENTALES,Occitanie,76,4570.0,26739.0,31309.0
musée d archéologie sous-marine,66660,Archéologie,PORT-VENDRES,66,PYRENEES-ORIENTALES,Occitanie,76,,,
musée historique,67000,Archéologie,STRASBOURG,67,BAS-RHIN,Grand Est,44,27132.0,9032.0,36164.0
COLORS Urban Art,67000,Art,STRASBOURG,67,BAS-RHIN,Grand Est,44,,,
Arte,67000,Histoire,STRASBOURG,67,BAS-RHIN,Grand Est,44,,,
Simultania,67000,Art,STRASBOURG,67,BAS-RHIN,Grand Est,44,,,
Musées de la Ville de Strasbourg,67000,Archéologie,STRASBOURG,67,BAS-RHIN,Grand Est,44,,,
Jardin des sciences de l Université,67000,Sciences de la nature,STRASBOURG,67,BAS-RHIN,Grand Est,44,,,
musée Tomi Ungerer,67000,Arts décoratif,STRASBOURG,67,BAS-RHIN,Grand Est,44,20342.0,6744.0,27086.0
musée zoologique de l université Louis Pasteur et de la ville de Strasbourg,67000,Sciences de la nature,STRASBOURG,67,BAS-RHIN,Grand Est,44,28079.0,8028.0,36107.0
musée de l Œuvre Notre-Dame,67000,Arts décoratif,STRASBOURG,67,BAS-RHIN,Grand Est,44,19081.0,7394.0,26475.0
musée Alsacien,67000,Ethnologie,STRASBOURG,67,BAS-RHIN,Grand Est,44,32425.0,11398.0,43823.0
cabinet des estampes et des dessins,67000,Arts décoratif,STRASBOURG,67,BAS-RHIN,Grand Est,44,110.0,0.0,110.0
musée des Arts Décoratifs,67000,Arts décoratif,STRASBOURG,67,BAS-RHIN,Grand Est,44,37411.0,11397.0,48808.0
musée d art moderne et contemporain de Strasbourg,67000,Arts décoratif,STRASBOURG,67,BAS-RHIN,Grand Est,44,63700.0,23159.0,86859.0
musée de la bataille du 6 août 1870,67360,Histoire,WOERTH,67,BAS-RHIN,Grand Est,44,279.0,1176.0,1455.0
maison de l archéologie des Vosges du Nord,67110,Archéologie,NIEDERBRONN-LES-BAINS,67,BAS-RHIN,Grand Est,44,517.0,742.0,1259.0
musée historique et industriel - musée du fer,67110,Histoire,REICHSHOFFEN,67,BAS-RHIN,Grand Est,44,150.0,301.0,451.0
musée du Château des Rohan,67700,Archéologie,SAVERNE,67,BAS-RHIN,Grand Est,44,1365.0,1702.0,3067.0
musée Oberlin,67130,Biographie,WALDERSBACH,67,BAS-RHIN,Grand Est,44,0.0,10001.0,10001.0
musée Léon Marès,74330,Arts décoratif,LOVAGNY,74,HAUTE-SAVOIE,Auvergne-Rhône-Alpes,84,3949.0,33230.0,37179.0
musée des Vallées de Thônes,74230,Histoire,THONES,74,HAUTE-SAVOIE,Auvergne-Rhône-Alpes,84,315.0,430.0,745.0
"musée du Protestantisme, de la Réforme à la laïcité",81120,Histoire,FERRIERES_-_FONTRIEU,81,TARN,Occitanie,76,488.0,752.0,1240.0
musée du pays rabastinois,81800,Archéologie,RABASTENS,81,TARN,Occitanie,76,,,
archéosite de Montans,81600,,MONTANS,81,TARN,Occitanie,76,,,
musée de l’abbaye Saint-Michel,81600,Archéologie,GAILLAC,81,TARN,Occitanie,76,873.0,439.0,1312.0
