CP,Type,NOM,COMMUNE,FAUTEUIL,Public,ECRAN,SOUS_TYPE_THEMATIQUE,GCD,LATTI,LONGI,codeReg,nomReg,numdep,nomdept
11000,Cinéma,Cap Cinema Carcassonne,CARCASSONNE,1830.0,,9.0,Cinéma,2 - Centres urbains intermédiaires,43.235546,2.367714,76,Occitanie,11,AUDE
11370,Cinéma,Clap Cine,LEUCATE,451.0,,3.0,Cinéma,5 - Bourgs ruraux,42.841052,3.039151,76,Occitanie,11,AUDE
11200,Cinéma,Palace,LÉZIGNAN-CORBIÈRES,199.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,43.20081247,2.75834694,76,Occitanie,11,AUDE
11100,Cinéma,Mega Cgr,NARBONNE,1258.0,,9.0,Cinéma,2 - Centres urbains intermédiaires,43.16120892,2.98316189,76,Occitanie,11,AUDE
12160,Cinéma,Cinema de Baraqueville,BARAQUEVILLE,164.0,,1.0,Cinéma,6 - Rural à habitat dispersé,44.27782441,2.43345864,76,Occitanie,12,AVEYRON
12240,Cinéma,Salle de Cinema Et de Spectacles Vivants,RIEUPEYROUX,239.0,,1.0,Cinéma,5 - Bourgs ruraux,44.30796559,2.23767164,76,Occitanie,12,AVEYRON
13200,Cinéma,Actes Sud Le Mejan,ARLES,231.0,,3.0,Cinéma,2 - Centres urbains intermédiaires,43.6783986,4.6249238,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13400,Cinéma,Pagnol 1  Ex Nemo,AUBAGNE,579.0,,4.0,Cinéma,1 - Grands centres urbains,43.29443859,5.56770527,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13600,Cinéma,Cinema Eden Theatre,LA_CIOTAT,142.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,43.17736422,5.61051911,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13990,Cinéma,Eden,FONTVIEILLE,135.0,,1.0,Cinéma,5 - Bourgs ruraux,43.72663781,4.71062497,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13270,Cinéma,Odyssee,FOS-SUR-MER,392.0,,2.0,Cinéma,2 - Centres urbains intermédiaires,43.453954,4.943629,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13450,Cinéma,Espace Robert Hossein,GRANS,295.0,,1.0,Cinéma,4 - Ceintures urbaines,43.60900724,5.06517984,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13170,Cinéma,Pathe,LES_PENNES-MIRABEAU,3507.0,,17.0,Cinéma,4 - Ceintures urbaines,43.41368015,5.35494904,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13110,Cinéma,Le Melies,PORT-DE-BOUC,155.0,,1.0,Cinéma,1 - Grands centres urbains,43.40517547,4.98474593,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13460,Cinéma,Relais Culturel,SAINTES-MARIES-DE-LA-MER,380.0,,1.0,Cinéma,5 - Bourgs ruraux,43.45033667,4.42564197,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13210,Cinéma,Cine Palace,SAINT-RÉMY-DE-PROVENCE,190.0,,1.0,Cinéma,3 - Petites villes,43.78902914,4.82910962,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13300,Cinéma,Club,SALON-DE-PROVENCE,472.0,,2.0,Cinéma,2 - Centres urbains intermédiaires,43.637405,5.099136,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13530,Cinéma,Le Casino,TRETS,220.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,43.44673883,5.68682332,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
13200,Cinéma,Bonneveine,MARSEILLE,806.0,,5.0,Cinéma,1 - Grands centres urbains,43.249625,5.389984,93,Provence-Alpes-Côte d Azur,13,BOUCHES-DU-RHONE
14000,Cinéma,Cinema Lux  ( Ex Studio du 7eme Art),CAEN,477.0,,3.0,Cinéma,1 - Grands centres urbains,49.16975466,-0.33916542,28,Normandie,14,CALVADOS
14600,Cinéma,Cinema Henri Jeanson,HONFLEUR,199.0,,1.0,Cinéma,3 - Petites villes,49.4190087,0.23485111,28,Normandie,14,CALVADOS
14230,Cinéma,Le Club,ISIGNY-SUR-MER,308.0,,1.0,Cinéma,5 - Bourgs ruraux,49.31974224,-1.10373225,28,Normandie,14,CALVADOS
14780,Cinéma,Trianon,LION-SUR-MER,111.0,,1.0,Cinéma,4 - Ceintures urbaines,49.30229878,-0.3141797,28,Normandie,14,CALVADOS
14100,Cinéma,Royal,LISIEUX,536.0,,3.0,Cinéma,2 - Centres urbains intermédiaires,49.14392396,0.22779585,28,Normandie,14,CALVADOS
14120,Cinéma,Ugc Cine Cite,MONDEVILLE,2452.0,,12.0,Cinéma,1 - Grands centres urbains,49.16554814,-0.30090302,28,Normandie,14,CALVADOS
15700,Cinéma,Salle des Fetes,PLEAUX,350.0,,1.0,Cinéma,6 - Rural à habitat dispersé,45.133956,2.227009,84,Auvergne-Rhône-Alpes,15,CANTAL
16300,Cinéma,Le Club,BARBEZIEUX-SAINT-HILAIRE,239.0,,2.0,Cinéma,5 - Bourgs ruraux,45.47154006,-0.15260581,75,Nouvelle-Aquitaine,16,CHARENTE
16260,Cinéma,Vox,CHASSENEUIL-SUR-BONNIEURE,178.0,,1.0,Cinéma,6 - Rural à habitat dispersé,45.82426135,0.44775501,75,Nouvelle-Aquitaine,16,CHARENTE
16100,Cinéma,Galaxy (Ex-Pathe),COGNAC,962.0,,7.0,Cinéma,2 - Centres urbains intermédiaires,45.69146,-0.322862,75,Nouvelle-Aquitaine,16,CHARENTE
16500,Cinéma,Le Capitole,CONFOLENS,149.0,,1.0,Cinéma,5 - Bourgs ruraux,46.01269711,0.67047895,75,Nouvelle-Aquitaine,16,CHARENTE
17500,Cinéma,Familia,JONZAC,354.0,,2.0,Cinéma,5 - Bourgs ruraux,45.44566532,-0.43387264,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17160,Cinéma,Le Forum,MATHA,154.0,,1.0,Cinéma,5 - Bourgs ruraux,45.86910166,-0.3196143,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17800,Cinéma,Le Vauban,PONS,199.0,,2.0,Cinéma,5 - Bourgs ruraux,45.580586,-0.546711,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17000,Cinéma,Cgr Dragon,LA_ROCHELLE,1024.0,,6.0,Cinéma,1 - Grands centres urbains,46.15769943,-1.15369682,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17400,Cinéma,Eden Bourvil,SAINT-JEAN-D_ANGÉLY,174.0,,1.0,Cinéma,3 - Petites villes,45.94953,-0.518149,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
17700,Cinéma,Le Palace,SURGÈRES,210.0,,1.0,Cinéma,3 - Petites villes,46.1071525,-0.75000548,75,Nouvelle-Aquitaine,17,CHARENTE-MARITIME
18700,Cinéma,Atomic,AUBIGNY-SUR-NÈRE,163.0,,1.0,Cinéma,5 - Bourgs ruraux,47.48809622,2.43967882,24,Centre-Val de Loire,18,CHER
18220,Cinéma,Foyer Rural,SAINTE-SOLANGE,200.0,,1.0,Cinéma,5 - Bourgs ruraux,47.135691,2.548784,24,Centre-Val de Loire,18,CHER
19110,Cinéma,Le 7 Eme Art,BORT-LES-ORGUES,358.0,,2.0,Cinéma,5 - Bourgs ruraux,45.40180347,2.4993931,75,Nouvelle-Aquitaine,19,CORREZE
78990,Cinéma,Grenouille,ELANCOURT,348.0,,3.0,Cinéma,1 - Grands centres urbains,48.766594,1.949214,11,Île-de-France,78,YVELINES
78180,Cinéma,Ugc Cine Cite Sqy Ouest,MONTIGNY-LE-BRETONNEUX,3612.0,,16.0,Cinéma,1 - Grands centres urbains,48.78432544,2.04077512,11,Île-de-France,78,YVELINES
78100,Cinéma,C 2 L,SAINT-GERMAIN-EN-LAYE,742.0,,5.0,Cinéma,1 - Grands centres urbains,48.89657906,2.09105025,11,Île-de-France,78,YVELINES
79140,Cinéma,7eme Art,CERIZAY,177.0,,1.0,Cinéma,5 - Bourgs ruraux,46.82072573,-0.67062702,75,Nouvelle-Aquitaine,79,DEUX-SEVRES
79110,Cinéma,Foyer Culturel,CHEF-BOUTONNE,146.0,,1.0,Cinéma,6 - Rural à habitat dispersé,46.1083512,-0.06878296,75,Nouvelle-Aquitaine,79,DEUX-SEVRES
